index,name,Project Year,Location,Architects,Area
1,Monorail station of Amanohashidate view land ,2018,"437 Monju, Miyazu-shi, Ky艒to-fu 626-0001,Japan",Koichi Hankai Architect & Associates,299.0 m2
2,LocHal Library ,2018,"Burgemeester Brokxlaan 1000, 5041 AA Tilburg,The Netherlands","CIVIC architects, Braaksma & Roos architectenbureau, Inside Outside, Mecanoo",7000.0 m2
3,'Las Matas' Rail Maintenance Base ,2016,"Las Rozas, Madrid,Spain",Estudio Astiz,100.0 m2
4,Line 6 Santiago Metro Stations ,2017,"Santiago, Santiago Metropolitan Region,Chile",IDOM,75350.0 m2
5,In Progress: Kaohsiung Station ,2023,"Sanmin District, Kaohsiung,Taiwan",Mecanoo,182000.0 m2
6,AD Classics: Pennsylvania Station ,,"West 32nd Street, New York, NY 10001, USA","Charles McKim, William Rutherford Mead, Stanford White",335400.0 ft2
7,Napoli Afragola Station ,2017,"80026 Casoria, Metropolitan City of Naples,Italy",Zaha Hadid Architects,30000.0 m2
8,Shanghai-South Station ,2006,"Shanghai,China",AREP,
9,Sound Transit U Link University of Washington Station ,2016,"Seattle, WA,United States",LMN Architects,157.856 ft2
10,Lorient Multimodal Hub ,2017,France,AREP,
11,Burgos Railway Station Refurbishment ,2016,"Calle Dr. Jos茅 Luis Santamar铆a, 09001 Burgos,Spain",Contell-Mart铆nez Arquitectos,2347.0 m2
12,Utrecht Central Station ,2016,"Utrecht,The Netherlands",Benthem Crouwel Architects,26030.0 m2
13,The Hague Central Station ,2016,"Kon. Julianaplein 10, 2595 Den Haag, Netherlands",Benthem Crouwel Architects,20000.0 m2
14,WALL Designs New Paveletskaya Transit Hub for Moscow,2020,"Paveletskaya, Moskva, Russia, 115054",WALL Architectural Bureau,
15,Birmingham New Street Station ,2015,"Birmingham, West Midlands, UK",AZPML,91500.0 m2
16,TaiYuan South Railway Station ,2014,"Taiyuan, Shanxi,China",CSADI,183952.0 sqm
17,Changhua Station THSR ,2015,"Changhua County,Taiwan",KRIS YAO | ARTECH,22174.0 sqm
18,Arnhem Central Transfer Terminal ,2015,"Stationsplein, Arnhem,The Netherlands",UNStudio,21750.0 sqm
19,Montesanto Station Refurbishment ,2011,"Montesanto, 80135 Napoli,Italy",Silvio d鈥橝scia Architecture,4690.0 sqm
20,Tokyo Station Yaesu Redevelopment ,2015,"Tokyo,Japan",JAHN,346.0 sqm
21,Hangzhou East Railway Station ,2014,"Hangzhou, Zhejiang,China",CSADI,321020.0 sqm
22,Cermak McCormick Place Station ,2015,"Cermak-McCormick Place, Chicago, IL 60616, USA",Ross Barney Architects,
23,Cr茅teil-Pompadour Suburban Station ,2013,"Cr茅teil - Pompadour, 94000 Cr茅teil,France",AREP,
24,Casa-Port Railway Station ,,"Casablanca,Morocco","AREP,Groupe3 Architectes",2500.0 m2
25,Graz Main Station Redevelopment  ,2015,"Graz,Austria",Zechner & Zechner,
